epoch,train_total,train_box,train_cls,train_dfl,train_kpt,val_total,val_box,val_cls,val_dfl,val_kpt,lr
54,12.8091,0.205512,0.00542036,1.42982,9.12034,12.4816,0.210465,0.00427725,1.47147,8.69372,0.000884421
55,12.3755,0.191614,0.00504211,1.36058,8.89505,12.1866,0.205921,0.00465262,1.45002,8.46483,0.000880203
56,12.6995,0.196678,0.00532564,1.40196,9.11884,11.8911,0.183715,0.00452154,1.39609,8.41683,0.00087592
57,12.6305,0.202159,0.00512905,1.40809,8.99957,12.9321,0.228243,0.00518065,1.58733,8.8367,0.000871572
58,12.3309,0.192765,0.00484437,1.38233,8.80923,12.8676,0.230233,0.00465603,1.62394,8.70265,0.000867161
59,12.556,0.205915,0.00503999,1.39408,8.91799,12.4397,0.221692,0.0046218,1.57211,8.4165,0.000862687
60,12.7266,0.199782,0.00484835,1.41817,9.09858,12.1826,0.21925,0.00416735,1.57296,8.1767,0.000858151
61,12.4317,0.202394,0.00499185,1.40267,8.80727,12.0511,0.216942,0.00380862,1.4027,8.31804,0.000853553
62,12.27,0.192501,0.00476894,1.3368,8.81867,12.9905,0.224294,0.00444311,1.578,8.93904,0.000848895
63,12.1111,0.188039,0.00438672,1.32676,8.70845,12.1181,0.220213,0.00388223,1.48903,8.23102,0.000844177
64,12.473,0.19119,0.004629,1.3406,9.0259,12.4031,0.223018,0.00367776,1.45393,8.54769,0.0008394
65,12.4508,0.198492,0.00464466,1.38522,8.88193,12.4249,0.205853,0.00415732,1.36139,8.83684,0.000834565
66,12.3683,0.190232,0.0044778,1.32919,8.94549,11.5902,0.183417,0.00433928,1.29002,8.27738,0.000829673
67,12.4383,0.192823,0.00451296,1.33389,8.98909,12.156,0.202386,0.00459606,1.43717,8.48005,0.000824724
68,12.5244,0.204475,0.00451528,1.36396,8.94266,12.3766,0.22437,0.00397103,1.50925,8.42798,0.00081972
69,12.1296,0.181316,0.00441747,1.31382,8.79683,11.4729,0.197732,0.0038857,1.40809,7.87584,0.00081466
70,11.9298,0.182841,0.00423949,1.31524,8.58356,11.5014,0.190866,0.00352674,1.28739,8.13705,0.000809547
71,12.0316,0.191046,0.00428251,1.32754,8.60526,12.3039,0.236898,0.00388887,1.53546,8.22202,0.000804381
72,12.2945,0.200078,0.00431985,1.34365,8.77628,11.9334,0.226112,0.00405829,1.4652,8.03776,0.000799162
73,12.4195,0.195608,0.00421389,1.34097,8.93887,11.9489,0.222296,0.00361666,1.45092,8.10354,0.000793893
74,12.1413,0.190626,0.00416269,1.33975,8.69994,12.638,0.24991,0.00391953,1.68031,8.24122,0.000788573
75,11.8985,0.185321,0.00417029,1.32629,8.51708,11.9022,0.206025,0.00476684,1.41803,8.2276,0.000783203
76,12.2556,0.199255,0.00434551,1.36807,8.70696,11.8563,0.219063,0.00334952,1.39949,8.11241,0.000777785
77,11.7464,0.17762,0.00379326,1.26311,8.51772,11.8996,0.21843,0.00330895,1.40537,8.1517,0.00077232
78,11.8999,0.185049,0.00388828,1.26317,8.61536,11.4668,0.211331,0.00333182,1.37683,7.81493,0.000766807
79,12.0264,0.197406,0.00403413,1.28539,8.61575,11.9459,0.225804,0.00357001,1.48704,8.01998,0.000761249
80,11.8329,0.188715,0.00393349,1.31309,8.44594,11.8469,0.22103,0.00337951,1.42599,8.04846,0.000755647
81,11.8265,0.175806,0.00396065,1.27512,8.59325,11.9708,0.21072,0.00343123,1.39091,8.30228,0.00075
82,11.6497,0.17846,0.00377867,1.22549,8.47115,11.3876,0.202003,0.00317488,1.26125,7.97913,0.000744311
83,11.6748,0.184625,0.00377905,1.25293,8.4088,11.7722,0.194783,0.00331053,1.2535,8.42942,0.000738579
84,11.8436,0.184035,0.00365792,1.26829,8.55907,12.0411,0.224581,0.00327241,1.40273,8.25103,0.000732807
85,11.6172,0.180098,0.00358263,1.30426,8.3083,12.29,0.234435,0.0030953,1.50771,8.26861,0.000726995
86,11.4826,0.17737,0.00341986,1.28386,8.2248,11.015,0.198958,0.00285778,1.26681,7.62115,0.000721144
87,11.581,0.18291,0.00374296,1.27629,8.29291,11.6755,0.20824,0.00285307,1.32597,8.12333,0.000715256
